,barcode,predicted categories,wrong prediction,missed prediction
122,3560070455041,"[{'en:caen-style-tripes': 0.9885428}, {'en:meals': 0.9359066}, {'en:meals-with-meat': 0.89713645}, {'en:meat-based-products': 0.96211636}, {'en:specialty-made-with-tripe': 0.98289156}, {'en:tripe': 0.5545051}, {'en:tripe-dishes': 0.6553971}]",[],"['en:beef-dishes', 'en:fish-and-meat-and-eggs', 'en:canned-foods', 'en:offals', 'en:canned-meals']"
123,8428150000398,[],[],"['en:plant-based-foods-and-beverages', 'en:special-breads', 'en:cereals-and-potatoes', 'en:breads', 'es:picos-de-pan', 'en:breadsticks', 'en:plant-based-foods']"
124,3250390314271,"[{'en:lardons': 0.9499252}, {'en:meats': 0.994446}, {'en:prepared-meats': 0.9073278}, {'en:smoked-lardons': 0.85960567}, {'fr:allumettes-de-porc': 0.9517825}, {'fr:charcuteries-diverses': 0.85464144}]",[],"['en:pork', 'en:fresh-foods']"
127,3760278860443,"[{'en:coffees': 0.9989114}, {'en:plant-based-foods': 0.9944467}, {'en:plant-based-foods-and-beverages': 0.99321604}]",[],"['en:ground-coffees', 'en:coffee-capsules', 'en:hot-beverages', 'en:beverages', 'en:capsules']"
128,20803896,"[{'en:beverages': 0.9674243}, {'en:plant-based-beverages': 0.8215267}, {'en:plant-based-foods-and-beverages': 0.85506284}]",[],"['en:fruit-juices', 'en:fruit-smoothies', 'en:unsweetened-beverages', 'en:juices-and-nectars', 'en:fruit-based-beverages', 'en:smoothies', 'en:non-alcoholic-beverages']"
131,2339846006180,"[{'en:meats': 0.99806607}, {'en:rabbit-meat': 0.7043288}]",[{'en:prepared-meats': 0.68591213}],[]
132,0866371000052,"[{'en:plant-based-foods': 0.59958607}, {'en:plant-based-foods-and-beverages': 0.7967409}]",[{'en:fruits-and-vegetables-based-foods': 0.58903104}],"['en:spreads', 'en:plant-based-spreads', 'en:sweet-spreads', 'en:breakfasts', 'en:fruit-and-vegetable-preserves']"
133,2000000107737,"[{'en:fruits-and-vegetables-based-foods': 0.98962075}, {'en:leaf-vegetables': 0.98974323}, {'en:plant-based-foods': 0.9998122}, {'en:plant-based-foods-and-beverages': 0.99944913}, {'en:vegetables-based-foods': 0.97351706}]",[{'en:leaf-salads': 0.6931569}],['en:spinachs']
134,2602659019884,"[{'en:hams': 0.9842825}, {'en:meats': 0.9862978}, {'en:prepared-meats': 0.96803355}]",[{'en:white-hams': 0.9766966}],[]
135,3222472376217,"[{'en:beef-dishes': 0.9227992}, {'en:beef-stews': 0.96795416}, {'en:boeufs-bourguignons': 0.9502044}, {'en:meals': 0.98960984}, {'en:meals-with-meat': 0.9707148}, {'en:meat-based-products': 0.9729371}]",[],['en:microwave-meals']
136,3256221671940,"[{'en:cereal-grains': 0.8600894}, {'en:cereals-and-potatoes': 0.74904084}, {'en:cereals-and-their-products': 0.789833}, {'en:plant-based-foods': 0.92586994}, {'en:plant-based-foods-and-beverages': 0.9290673}, {'en:rices': 0.91584486}, {'en:seeds': 0.91331106}]","[{'en:aromatic-rices': 0.5420577}, {'en:indica-rices': 0.53919464}]",['en:long-grain-rices']
137,3395502938263,"[{'en:candies': 0.5778323}, {'en:confectioneries': 0.87512124}, {'en:snacks': 0.9390719}, {'en:sweet-snacks': 0.89979166}]",[],['en:gummi-candies']
138,8076809546362,"[{'en:bolognese-sauces': 0.838435}, {'en:groceries': 0.99290454}, {'en:meat-based-pasta-sauces': 0.88815594}, {'en:meat-based-products': 0.70081747}, {'en:meat-based-sauces': 0.9456835}, {'en:pasta-sauces': 0.8529481}, {'en:sauces': 0.9846701}]",[],"['en:tomato-sauces', 'en:meals']"
141,29039296,"[{'en:biscuits': 0.56642056}, {'en:biscuits-and-cakes': 0.98216414}, {'en:snacks': 0.9672607}, {'en:sweet-snacks': 0.9580449}]",[{'en:pastries': 0.5327617}],[]
145,0024094014019,"[{'en:cereals-and-potatoes': 0.9642124}, {'en:cereals-and-their-products': 0.606659}, {'en:gnocchi': 0.6396853}, {'en:plant-based-foods': 0.9737021}, {'en:plant-based-foods-and-beverages': 0.9883229}]",[],"['en:pastas', 'en:potato-gnocchi']"
147,6221031498107,[{'en:snacks': 0.70158565}],[],"['en:plant-based-foods-and-beverages', 'en:potato-crisps', 'en:crisps', 'en:cheese-and-onion-crisps', 'en:flavoured-potato-crisps', 'en:salty-snacks', 'en:cereals-and-potatoes', 'en:appetizers', 'en:chips-and-fries', 'en:plant-based-foods']"
149,3258561120676,"[{'en:legumes': 0.8940408}, {'en:legumes-and-their-products': 0.91707754}, {'en:plant-based-foods': 0.97138834}, {'en:plant-based-foods-and-beverages': 0.97032404}]","[{'en:canned-common-beans': 0.6591844}, {'en:canned-flageolet-beans': 0.7033185}, {'en:canned-foods': 0.73456824}, {'en:canned-legumes': 0.7517859}, {'en:canned-plant-based-foods': 0.6887696}]","['en:seeds', 'en:pulses', 'en:dried-flageolet-green-beans', 'en:legume-seeds']"
150,5010029224771,"[{'en:breakfast-cereals': 0.5526383}, {'en:cereals-and-potatoes': 0.5862666}, {'en:plant-based-foods': 0.7533596}, {'en:plant-based-foods-and-beverages': 0.76971376}]",[],"['en:cereals-and-their-products', 'en:breakfasts']"
152,0073410115305,"[{'en:cereals-and-potatoes': 0.5848199}, {'en:plant-based-foods': 0.5484831}, {'en:plant-based-foods-and-beverages': 0.50868076}]",[],['en:breads']
154,8410898100065,"[{'en:artichoke-hearts': 0.73197466}, {'en:artichokes': 0.9861418}, {'en:fruits-and-vegetables-based-foods': 0.9670615}, {'en:plant-based-foods': 0.9957891}, {'en:plant-based-foods-and-beverages': 0.9951134}, {'en:vegetable-rods': 0.9799706}, {'en:vegetables-based-foods': 0.9802432}]","[{'en:canned-plant-based-foods': 0.503778}, {'en:canned-vegetables': 0.54032904}]",[]
158,3760093629430,"[{'en:alcoholic-beverages': 0.9995503}, {'en:beverages': 0.9997502}, {'en:wines': 0.9994583}, {'en:wines-from-france': 0.9843621}, {'fr:cotes-du-rhone': 0.97967064}]",[],['en:red-wines']
159,00162826900819000008,"[{'en:cheeses': 0.98561406}, {'en:dairies': 0.98336506}, {'en:fermented-foods': 0.9847818}, {'en:fermented-milk-products': 0.988153}]",[],['en:sliced-cheeses']
161,3700036905702,"[{'en:almonds': 0.78530645}, {'en:nuts': 0.7490327}, {'en:nuts-and-their-products': 0.8490232}, {'en:plant-based-foods': 0.8980229}, {'en:plant-based-foods-and-beverages': 0.91548663}]",[],"['en:shelled-almonds', 'en:shelled-nuts']"
167,0099482447588,"[{'en:groceries': 0.9865738}, {'en:sauces': 0.9551886}]","[{'en:condiments': 0.55435413}, {'en:mustards': 0.5810649}]",[]
169,8480024823823,"[{'en:cheeses': 0.97804505}, {'en:dairies': 0.9893751}, {'en:fermented-foods': 0.97910947}, {'en:fermented-milk-products': 0.9838053}]",[],['en:semi-cured-cheese']
172,4260515260085,[],"[{'en:meats': 0.9396156}, {'en:prepared-meats': 0.9514475}, {'en:sausages': 0.8953443}]","['en:spreads', 'en:plant-based-foods-and-beverages', 'en:plant-based-spreads', 'en:plant-based-foods']"
174,075450083760,"[{'en:biscuits-and-cakes': 0.9698014}, {'en:pastries': 0.8107775}, {'en:snacks': 0.61767}, {'en:sweet-snacks': 0.7023624}, {'en:toaster-pastries': 0.6512557}]",[],['en:biscuits']
175,4600682401476,[{'en:beverages': 0.9604012}],"[{'en:alcoholic-beverages': 0.96002746}, {'en:beers': 0.694133}]",['en:unsweetened-beverages']
178,8422410809493,"[{'en:artichokes': 0.9861418}, {'en:canned-plant-based-foods': 0.503778}, {'en:canned-vegetables': 0.54032904}, {'en:fruits-and-vegetables-based-foods': 0.9670615}, {'en:plant-based-foods': 0.9957891}, {'en:plant-based-foods-and-beverages': 0.9951134}, {'en:vegetable-rods': 0.9799706}, {'en:vegetables-based-foods': 0.9802432}]",[{'en:artichoke-hearts': 0.73197466}],"['en:canned-foods', 'en:canned-artichokes']"
180,8008343279994,"[{'en:groceries': 0.98410857}, {'en:sauces': 0.98915315}, {'en:tomato-sauces': 0.7958461}]",[],"['en:pasta-sauces', 'en:tomato-sauces-with-basil']"
181,4305615637020,"[{'en:beverages': 0.9916471}, {'en:hot-beverages': 0.9513892}, {'en:plant-based-beverages': 0.9216262}, {'en:plant-based-foods-and-beverages': 0.8862736}, {'en:teas': 0.85542214}]",[{'en:herbal-teas': 0.6842703}],['en:green-teas']
182,3425600019875,"[{'en:biscuits-and-cakes': 0.8337534}, {'en:gingerbreads': 0.96138823}, {'en:snacks': 0.9512119}, {'en:sweet-snacks': 0.9038329}]",[],['fr:pains-d-epices-au-miel']
186,5290040003603,[],[{'en:snacks': 0.67190313}],['en:beverages']
187,0041318520545,"[{'en:dairies': 0.99548084}, {'en:milks': 0.9895954}]",[],['en:skimmed-milks']
188,42177104,"[{'en:groceries': 0.9931749}, {'en:sauces': 0.96198833}]","[{'en:condiments': 0.623816}, {'en:soy-sauces': 0.97677916}]","['en:seeds', 'en:plant-based-foods-and-beverages', 'en:legumes', 'en:legumes-and-their-products', 'en:soy-beans', 'en:legume-seeds', 'en:plant-based-foods']"
195,0722252120083,[{'en:snacks': 0.59236956}],"[{'en:nuts-and-their-products': 0.69388413}, {'en:plant-based-foods': 0.7458035}, {'en:plant-based-foods-and-beverages': 0.86841285}]","['en:bodybuilding-supplements', 'en:dietary-supplements', 'en:energy-bars', 'en:sweet-snacks', 'en:bars']"
198,0078895145342,[],[{'en:biscuits-and-cakes': 0.51589674}],"['en:groceries', 'en:sauces']"
199,8003753138770,"[{'en:coffees': 0.6654056}, {'en:plant-based-foods': 0.91645503}, {'en:plant-based-foods-and-beverages': 0.98745084}]","[{'en:beverages': 0.93051434}, {'en:hot-beverages': 0.7336131}]","['en:decaffeinated-coffees', 'en:ground-coffees']"
202,8437001247325,"[{'en:condiments': 0.9787638}, {'en:groceries': 0.8914706}, {'en:plant-based-foods': 0.9901284}, {'en:plant-based-foods-and-beverages': 0.9794702}, {'en:saffron': 0.899657}, {'en:spices': 0.9671406}]",[],['en:saffron-threads']
